Date,Expiry,Strike,Option Type,Mark Price,BTC Spot Price,Symbol
2025-05-15,2025-05-16,93000.0,C,10762.3,103746.03,BTC-250516-93000-C
2025-05-15,2025-05-16,102000.0,C,1818.1,103746.03,BTC-250516-102000-C
2025-05-15,2025-05-16,98000.0,C,5766.4,103746.03,BTC-250516-98000-C
2025-05-15,2025-05-16,93000.0,P,0.1,103746.03,BTC-250516-93000-P
2025-05-15,2025-05-16,102000.0,P,55.0,103746.03,BTC-250516-102000-P
2025-05-15,2025-05-16,95000.0,C,8761.4,103746.03,BTC-250516-95000-C
2025-05-15,2025-05-16,98000.0,P,4.8,103746.03,BTC-250516-98000-P
2025-05-15,2025-05-16,95000.0,P,5.0,103746.03,BTC-250516-95000-P
2025-05-15,2025-05-16,90000.0,C,13760.6,103746.03,BTC-250516-90000-C
2025-05-15,2025-05-16,90000.0,P,0.1,103746.03,BTC-250516-90000-P
2025-05-15,2025-05-16,110000.0,C,4.9,103746.03,BTC-250516-110000-C
2025-05-15,2025-05-16,110000.0,P,6234.2,103746.03,BTC-250516-110000-P
2025-05-15,2025-05-16,75000.0,C,28764.4,103746.03,BTC-250516-75000-C
2025-05-15,2025-05-16,75000.0,P,0.1,103746.03,BTC-250516-75000-P
2025-05-15,2025-05-16,86000.0,C,17767.7,103746.03,BTC-250516-86000-C
2025-05-15,2025-05-16,86000.0,P,0.1,103746.03,BTC-250516-86000-P
2025-05-15,2025-05-16,105000.0,C,70.0,103746.03,BTC-250516-105000-C
2025-05-15,2025-05-16,115000.0,C,2.5,103746.03,BTC-250516-115000-C
2025-05-15,2025-05-16,80000.0,C,23773.1,103746.03,BTC-250516-80000-C
2025-05-15,2025-05-16,88000.0,C,15773.6,103746.03,BTC-250516-88000-C
2025-05-15,2025-05-16,105000.0,P,1277.8,103746.03,BTC-250516-105000-P
2025-05-15,2025-05-16,88000.0,P,0.1,103746.03,BTC-250516-88000-P
2025-05-15,2025-05-16,80000.0,P,0.1,103746.03,BTC-250516-80000-P
2025-05-15,2025-05-16,115000.0,P,11219.0,103746.03,BTC-250516-115000-P
2025-05-15,2025-05-16,83000.0,C,20779.2,103746.03,BTC-250516-83000-C
2025-05-15,2025-05-16,83000.0,P,0.1,103746.03,BTC-250516-83000-P
2025-05-15,2025-05-16,99000.0,C,4788.3,103746.03,BTC-250516-99000-C
2025-05-15,2025-05-16,99000.0,P,9.9,103746.03,BTC-250516-99000-P
2025-05-15,2025-05-16,96000.0,C,7780.6,103746.03,BTC-250516-96000-C
2025-05-15,2025-05-16,94000.0,C,9780.0,103746.03,BTC-250516-94000-C
2025-05-15,2025-05-16,96000.0,P,4.9,103746.03,BTC-250516-96000-P
2025-05-15,2025-05-16,84000.0,C,19779.2,103746.03,BTC-250516-84000-C
2025-05-15,2025-05-16,92000.0,C,11779.7,103746.03,BTC-250516-92000-C
2025-05-15,2025-05-16,94000.0,P,3.2,103746.03,BTC-250516-94000-P
2025-05-15,2025-05-16,84000.0,P,0.1,103746.03,BTC-250516-84000-P
2025-05-15,2025-05-16,92000.0,P,0.1,103746.03,BTC-250516-92000-P
2025-05-15,2025-05-16,91000.0,C,12765.7,103746.03,BTC-250516-91000-C
2025-05-15,2025-05-16,91000.0,P,0.1,103746.03,BTC-250516-91000-P
2025-05-15,2025-05-16,89000.0,C,14757.9,103746.03,BTC-250516-89000-C
2025-05-15,2025-05-16,97000.0,C,6759.7,103746.03,BTC-250516-97000-C
2025-05-15,2025-05-16,85000.0,C,18752.4,103746.03,BTC-250516-85000-C
2025-05-15,2025-05-16,89000.0,P,0.1,103746.03,BTC-250516-89000-P
2025-05-15,2025-05-16,97000.0,P,1.3,103746.03,BTC-250516-97000-P
2025-05-15,2025-05-16,85000.0,P,0.1,103746.03,BTC-250516-85000-P
2025-05-15,2025-05-16,101000.0,C,2772.5,103746.03,BTC-250516-101000-C
2025-05-15,2025-05-16,100000.0,C,3769.2,103746.03,BTC-250516-100000-C
2025-05-15,2025-05-16,101000.0,P,25.0,103746.03,BTC-250516-101000-P
2025-05-15,2025-05-16,100000.0,P,19.7,103746.03,BTC-250516-100000-P
2025-05-15,2025-05-16,104000.0,C,269.9,103746.03,BTC-250516-104000-C
2025-05-15,2025-05-16,104000.0,P,509.2,103746.03,BTC-250516-104000-P
2025-05-15,2025-05-16,103000.0,C,912.6,103746.03,BTC-250516-103000-C
2025-05-15,2025-05-16,103000.0,P,150.0,103746.03,BTC-250516-103000-P
2025-05-15,2025-05-16,106000.0,C,29.9,103746.03,BTC-250516-106000-C
2025-05-15,2025-05-16,106000.0,P,2270.2,103746.03,BTC-250516-106000-P
2025-05-15,2025-05-16,107000.0,C,15.0,103746.03,BTC-250516-107000-C
2025-05-15,2025-05-16,108000.0,C,6.2,103746.03,BTC-250516-108000-C
2025-05-15,2025-05-16,107000.0,P,3244.8,103746.03,BTC-250516-107000-P
2025-05-15,2025-05-16,108000.0,P,4243.6,103746.03,BTC-250516-108000-P
2025-05-15,2025-05-17,101000.0,C,2907.2,103746.03,BTC-250517-101000-C
2025-05-15,2025-05-17,112000.0,C,14.9,103746.03,BTC-250517-112000-C
2025-05-15,2025-05-17,101000.0,P,129.9,103746.03,BTC-250517-101000-P
2025-05-15,2025-05-17,112000.0,P,8235.0,103746.03,BTC-250517-112000-P
2025-05-15,2025-05-17,105000.0,C,369.9,103746.03,BTC-250517-105000-C
2025-05-15,2025-05-17,104000.0,C,708.4,103746.03,BTC-250517-104000-C
2025-05-15,2025-05-17,109000.0,C,35.0,103746.03,BTC-250517-109000-C
2025-05-15,2025-05-17,105000.0,P,1586.8,103746.03,BTC-250517-105000-P
2025-05-15,2025-05-17,109000.0,P,5248.5,103746.03,BTC-250517-109000-P
2025-05-15,2025-05-17,104000.0,P,922.7,103746.03,BTC-250517-104000-P
2025-05-15,2025-05-17,107000.0,C,100.7,103746.03,BTC-250517-107000-C
2025-05-15,2025-05-17,107000.0,P,3308.1,103746.03,BTC-250517-107000-P
2025-05-15,2025-05-17,96000.0,C,7813.7,103746.03,BTC-250517-96000-C
2025-05-15,2025-05-17,96000.0,P,14.9,103746.03,BTC-250517-96000-P
2025-05-15,2025-05-17,106000.0,C,195.0,103746.03,BTC-250517-106000-C
2025-05-15,2025-05-17,99000.0,C,4835.0,103746.03,BTC-250517-99000-C
2025-05-15,2025-05-17,106000.0,P,2400.4,103746.03,BTC-250517-106000-P
2025-05-15,2025-05-17,99000.0,P,43.8,103746.03,BTC-250517-99000-P
2025-05-15,2025-05-17,102000.0,C,2033.8,103746.03,BTC-250517-102000-C
2025-05-15,2025-05-17,102000.0,P,246.9,103746.03,BTC-250517-102000-P
2025-05-15,2025-05-18,97000.0,C,6839.5,103746.03,BTC-250518-97000-C
2025-05-15,2025-05-18,102000.0,C,2140.5,103746.03,BTC-250518-102000-C
2025-05-15,2025-05-18,104000.0,C,845.0,103746.03,BTC-250518-104000-C
2025-05-15,2025-05-18,107000.0,C,159.9,103746.03,BTC-250518-107000-C
2025-05-15,2025-05-18,94000.0,C,9820.8,103746.03,BTC-250518-94000-C
2025-05-15,2025-05-18,97000.0,P,36.8,103746.03,BTC-250518-97000-P
2025-05-15,2025-05-18,100000.0,C,3915.6,103746.03,BTC-250518-100000-C
2025-05-15,2025-05-18,102000.0,P,329.9,103746.03,BTC-250518-102000-P
2025-05-15,2025-05-18,107000.0,P,3358.4,103746.03,BTC-250518-107000-P
2025-05-15,2025-05-18,110000.0,C,33.9,103746.03,BTC-250518-110000-C
2025-05-15,2025-05-18,104000.0,P,1059.9,103746.03,BTC-250518-104000-P
2025-05-15,2025-05-18,94000.0,P,19.4,103746.03,BTC-250518-94000-P
2025-05-15,2025-05-18,100000.0,P,110.0,103746.03,BTC-250518-100000-P
2025-05-15,2025-05-18,110000.0,P,6223.8,103746.03,BTC-250518-110000-P
2025-05-15,2025-05-18,101000.0,C,2989.7,103746.03,BTC-250518-101000-C
2025-05-15,2025-05-18,99000.0,C,4879.6,103746.03,BTC-250518-99000-C
2025-05-15,2025-05-18,105000.0,C,484.9,103746.03,BTC-250518-105000-C
2025-05-15,2025-05-18,101000.0,P,182.9,103746.03,BTC-250518-101000-P
2025-05-15,2025-05-18,99000.0,P,71.3,103746.03,BTC-250518-99000-P
2025-05-15,2025-05-18,105000.0,P,1697.7,103746.03,BTC-250518-105000-P
2025-05-15,2025-05-17,94000.0,C,9809.2,103746.03,BTC-250517-94000-C
2025-05-15,2025-05-17,94000.0,P,19.1,103746.03,BTC-250517-94000-P
2025-05-15,2025-05-17,100000.0,C,3860.7,103746.03,BTC-250517-100000-C
2025-05-15,2025-05-17,100000.0,P,79.9,103746.03,BTC-250517-100000-P
2025-05-15,2025-05-17,98000.0,C,5818.6,103746.03,BTC-250517-98000-C
2025-05-15,2025-05-17,98000.0,P,32.0,103746.03,BTC-250517-98000-P
